Date,spec,label,sector_col,exclude_psu,Promoter_Group,group_display,n_stocks,group_mean_sector_residual,group_ss,group_r2_contribution,share_of_group_r2
2015-01-09,coarse_all,Coarse | With PSU,Sector_Coarse,False,Adani,Adani,2,0.047882834274516645,0.004585531636321652,0.02371774704754563,0.5101300312186157
2018-09-21,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,-0.018127453199712835,0.0003286045595077791,0.0013777409978596123,0.016697501508524566
2018-09-21,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,0.0041007693232909224,0.00015134678138559502,0.00063455195485227,0.007690438362394317
2018-09-28,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,-0.0053014628351074,5.6211016384049974e-05,0.0001947784072518485,0.0025982369243933655
2018-09-28,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,0.03832853647119026,0.004407230124070085,0.015271619678492783,0.2037150149433503
2018-09-28,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,-0.0015124361259402658,1.3724778210295198e-05,4.7558123151901025e-05,0.0006343992302408743
2018-09-28,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,4,0.03045611072547469,0.0037102987220894975,0.012856662661631312,0.17150081532768538
2018-09-28,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,-0.04833864061989609,0.007009872530938405,0.02429011063037982,0.3240167286913356
2018-09-28,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,0.0613817889193254,0.0037677240109366184,0.013055648679268833,0.1741551794625933
2018-09-28,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,0.01722153318387655,0.0026692308468302503,0.009249228467618038,0.12337962542040135
2018-10-05,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Adani,Adani,2,0.0013573329468512,3.6847054572155253e-06,2.0265030504600615e-05,0.0003608087594480759
2018-10-05,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Bajaj,Bajaj,3,-0.004932922568555008,7.300117520207801e-05,0.0004014896331658875,0.0071483226457991385
2018-10-05,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Birla,Birla,6,0.0034075807412314077,6.966963904806714e-05,0.0003831669524056106,0.006822096454657813
2018-10-05,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Mahindra,Mahindra,5,-0.03036068727393585,0.004608856658728651,0.025347649049551894,0.45130224730812774
2018-10-05,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_ADAG,Reliance (ADAG),3,-0.015960979511162564,0.0007642586008672534,0.0042032461046919364,0.0748367002134322
2018-10-05,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Reliance_RIL,Reliance (RIL),1,-0.06843385673273807,0.004683192747316919,0.025756480398577097,0.4585812855425769
2018-10-05,fine_ex_psu,Fine | Ex PSU,Sector_Fine,True,Tata,Tata,9,0.0010374548640699288,9.68681335484119e-06,5.3275240153543476e-05,0.0009485390759581872
