Month_End,Ticker,In_Nifty200
2025-01-31,MGL,True
2025-01-31,MOTHERSON,True
2025-01-31,MPHASIS,True
2025-01-31,MRF,True
2025-01-31,MRPL,True
2025-01-31,NATCOPHARM,True
2025-01-31,NAUKRI,True
2025-01-31,NHPC,True
2025-01-31,NLCINDIA,True
2025-01-31,NMDC,True
2025-01-31,NTPC,True
2025-01-31,OBEROIRLTY,True
2025-01-31,OIL,True
2025-01-31,ONGC,True
2025-01-31,PATANJALI,True
2025-01-31,PETRONET,True
2025-01-31,PFC,True
2025-01-31,PFIZER,True
2025-01-31,PIDILITIND,True
2025-01-31,PIIND,True
2025-01-31,PNB,True
2025-01-31,POLYCAB,True
2025-01-31,POONAWALLA,True
2025-01-31,POWERGRID,True
2025-01-31,PRESTIGE,True
2025-01-31,RBLBANK,True
2025-01-31,RECLTD,True
2025-01-31,RELIANCE,True
2025-01-31,RVNL,True
2025-01-31,SAIL,True
2025-01-31,SANOFI,True
2025-01-31,SBICARD,True
2025-01-31,SBILIFE,True
2025-01-31,SBIN,True
2025-01-31,SHREECEM,True
2025-01-31,SIEMENS,True
2025-01-31,SJVN,True
2025-01-31,SOLARINDS,True
2025-01-31,SONACOMS,True
2025-01-31,SRF,True
2025-01-31,SUNDARMFIN,True
2025-01-31,SUNPHARMA,True
2025-01-31,SUPREMEIND,True
2025-01-31,SUZLON,True
2025-01-31,TATACHEM,True
2025-01-31,TATACOMM,True
2025-01-31,TATACONSUM,True
2025-01-31,TATAELXSI,True
2025-01-31,TATATECH,True
2025-01-31,TCS,True
2025-01-31,TECHM,True
2025-01-31,TIINDIA,True
2025-01-31,TITAN,True
2025-01-31,TORNTPHARM,True
2025-01-31,TORNTPOWER,True
2025-01-31,TRENT,True
2025-01-31,TVSMOTOR,True
2025-01-31,ULTRACEMCO,True
2025-01-31,UNIONBANK,True
2025-01-31,UPL,True
2025-01-31,VBL,True
2025-01-31,VEDL,True
2025-01-31,VOLTAS,True
2025-01-31,WIPRO,True
2025-01-31,YESBANK,True
2025-02-28,AARTIIND,True
2025-02-28,ABCAPITAL,True
2025-02-28,ABFRL,True
2025-02-28,ADANIGREEN,True
2025-02-28,ADANIPOWER,True
2025-02-28,AMBUJACEM,True
2025-02-28,APLAPOLLO,True
2025-02-28,APOLLOHOSP,True
2025-02-28,APOLLOTYRE,True
2025-02-28,ASIANPAINT,True
2025-02-28,ASTRAL,True
2025-02-28,ATGL,True
2025-02-28,AUBANK,True
2025-02-28,AUROPHARMA,True
2025-02-28,AXISBANK,True
2025-02-28,BAJAJ-AUTO,True
2025-02-28,BAJAJFINSV,True
2025-02-28,BAJAJHLDNG,True
2025-02-28,BAJFINANCE,True
2025-02-28,BALKRISIND,True
2025-02-28,BANDHANBNK,True
2025-02-28,BANKBARODA,True
2025-02-28,BANKINDIA,True
2025-02-28,BDL,True
2025-02-28,BEL,True
2025-02-28,BHARATFORG,True
2025-02-28,BHARTIHEXA,True
2025-02-28,BHEL,True
2025-02-28,BIOCON,True
2025-02-28,BOSCHLTD,True
2025-02-28,BPCL,True
2025-02-28,CANBK,True
2025-02-28,CASTROLIND,True
2025-02-28,CENTRALBK,True
2025-02-28,CGPOWER,True
2025-02-28,CHOLAFIN,True
2025-02-28,CIPLA,True
2025-02-28,COALINDIA,True
2025-02-28,COCHINSHIP,True
2025-02-28,COFORGE,True
2025-02-28,COLPAL,True
2025-02-28,CONCOR,True
2025-02-28,CUB,True
2025-02-28,CUMMINSIND,True
2025-02-28,DABUR,True
2025-02-28,DELHIVERY,True
2025-02-28,DHANI,True
2025-02-28,DIVISLAB,True
2025-02-28,DIXON,True
2025-02-28,DLF,True
2025-02-28,DMART,True
2025-02-28,DRREDDY,True
2025-02-28,EICHERMOT,True
2025-02-28,ENDURANCE,True
2025-02-28,ESCORTS,True
2025-02-28,EXIDEIND,True
2025-02-28,FACT,True
