Date,Ticker,In_Nifty200
2023-06-16,BERGEPAINT,True
2023-06-16,BHARATFORG,True
2023-06-16,BHARTIARTL,True
2023-06-16,BHEL,True
2023-06-16,BIOCON,True
2023-06-16,BOSCHLTD,True
2023-06-16,BPCL,True
2023-06-16,BRITANNIA,True
2023-06-16,CADILAHC,True
2023-06-16,CANBK,True
2023-06-16,CASTROLIND,True
2023-06-16,CGPOWER,True
2023-06-16,CHOLAFIN,True
2023-06-16,CIPLA,True
2023-06-16,COALINDIA,True
2023-06-16,COFORGE,True
2023-06-16,COLPAL,True
2023-06-16,CONCOR,True
2023-06-16,COROMANDEL,True
2023-06-16,CROMPTON,True
2023-06-16,CUB,True
2023-06-16,CUMMINSIND,True
2023-06-16,DABUR,True
2023-06-16,DALBHARAT,True
2023-06-16,DEEPAKNTR,True
2023-06-16,DELHIVERY,True
2023-06-16,DEVYANI,True
2023-06-16,DHANI,True
2023-06-16,DIVISLAB,True
2023-06-16,DIXON,True
2023-06-16,DLF,True
2023-06-16,DMART,True
2023-06-16,DRREDDY,True
2023-06-16,EICHERMOT,True
2023-06-16,ENDURANCE,True
2023-06-16,ESCORTS,True
2023-06-16,FEDERALBNK,True
2023-06-16,FLUOROCHEM,True
2023-06-16,FORTIS,True
2023-06-16,GAIL,True
2023-06-16,GLAND,True
2023-06-16,GODREJCP,True
2023-06-16,GODREJIND,True
2023-06-16,GODREJPROP,True
2023-06-16,GRASIM,True
2023-06-16,GUJGASLTD,True
2023-06-16,HAL,True
2023-06-16,HAVELLS,True
2023-06-16,HCLTECH,True
2023-06-16,HDFC,True
2023-06-16,HDFCAMC,True
2023-06-16,HDFCBANK,True
2023-06-16,HDFCLIFE,True
2023-06-16,HEROMOTOCO,True
2023-06-16,HINDALCO,True
2023-06-16,HINDCOPPER,True
2023-06-16,HINDPETRO,True
2023-06-16,HINDUNILVR,True
2023-06-16,HINDZINC,True
2023-06-16,ICICIBANK,True
2023-06-16,ICICIGI,True
2023-06-16,IDEA,True
2023-06-16,IDFCFIRSTB,True
2023-06-16,IGL,True
2023-06-16,INDHOTEL,True
2023-06-16,INDIANB,True
2023-06-16,INDIGO,True
2023-06-16,INDUSINDBK,True
2023-06-16,INDUSTOWER,True
2023-06-16,INFY,True
2023-06-16,IOC,True
2023-06-16,IPCALAB,True
2023-06-16,IRCTC,True
2023-06-16,IRFC,True
2023-06-16,ITC,True
2023-06-16,JINDALSTEL,True
2023-06-16,JSWENERGY,True
2023-06-16,JSWSTEEL,True
2023-06-16,JUBLFOOD,True
2023-06-16,KOTAKBANK,True
2023-06-16,L&TFH,True
2023-06-16,LALPATHLAB,True
2023-06-16,LAURUSLABS,True
2023-06-16,LICHSGFIN,True
2023-06-16,LICI,True
2023-06-16,LT,True
2023-06-16,LTI,True
2023-06-16,LTTS,True
2023-06-16,LUPIN,True
2023-06-16,M&M,True
2023-06-16,M&MFIN,True
2023-06-16,MARICO,True
2023-06-16,MARUTI,True
2023-06-16,MCDOWELL-N,True
2023-06-16,MFSL,True
2023-06-16,MGL,True
2023-06-16,MOTHERSON,True
2023-06-16,MPHASIS,True
2023-06-16,MRF,True
2023-06-16,MSUMI,True
2023-06-16,MUTHOOTFIN,True
2023-06-16,NATCOPHARM,True
2023-06-16,NAUKRI,True
2023-06-16,NAVINFLUOR,True
2023-06-16,NESTLEIND,True
2023-06-16,NHPC,True
2023-06-16,NMDC,True
2023-06-16,NTPC,True
2023-06-16,OBEROIRLTY,True
2023-06-16,OIL,True
2023-06-16,ONGC,True
2023-06-16,PAGEIND,True
2023-06-16,PATANJALI,True
2023-06-16,PEL,True
2023-06-16,PETRONET,True
2023-06-16,PFC,True
2023-06-16,PFIZER,True
2023-06-16,PGHH,True
2023-06-16,PIDILITIND,True
2023-06-16,PIIND,True
2023-06-16,PNB,True
2023-06-16,POLYCAB,True
2023-06-16,POONAWALLA,True
2023-06-16,POWERGRID,True
2023-06-16,PRESTIGE,True
2023-06-16,RAMCOCEM,True
2023-06-16,RBLBANK,True
2023-06-16,RECLTD,True
2023-06-16,RELIANCE,True
2023-06-16,SAIL,True
2023-06-16,SANOFI,True
2023-06-16,SBICARD,True
2023-06-16,SBILIFE,True
2023-06-16,SBIN,True
2023-06-16,SHREECEM,True
2023-06-16,SIEMENS,True
2023-06-16,SONACOMS,True
2023-06-16,SRF,True
2023-06-16,SRTRANSFIN,True
2023-06-16,SUNPHARMA,True
2023-06-16,SUNTV,True
2023-06-16,SYNGENE,True
2023-06-16,TATACHEM,True
2023-06-16,TATACOMM,True
2023-06-16,TATACONSUM,True
2023-06-16,TATAELXSI,True
2023-06-16,TATAMOTORS,True
2023-06-16,TATAPOWER,True
2023-06-16,TATASTEEL,True
2023-06-16,TCS,True
2023-06-16,TECHM,True
2023-06-16,TIINDIA,True
2023-06-16,TITAN,True
2023-06-16,TORNTPHARM,True
2023-06-16,TORNTPOWER,True
2023-06-16,TRENT,True
2023-06-16,TTML,True
2023-06-16,TVSMOTOR,True
2023-06-16,UBL,True
2023-06-16,ULTRACEMCO,True
2023-06-16,UNIONBANK,True
2023-06-16,UPL,True
2023-06-16,VBL,True
2023-06-16,VEDL,True
2023-06-16,VOLTAS,True
2023-06-16,WHIRLPOOL,True
2023-06-16,WIPRO,True
2023-06-16,YESBANK,True
2023-06-16,ZEEL,True
2023-06-23,AARTIIND,True
2023-06-23,ABCAPITAL,True
2023-06-23,ABFRL,True
2023-06-23,ACC,True
2023-06-23,ADANIENT,True
2023-06-23,ADANIGREEN,True
2023-06-23,ADANIPORTS,True
2023-06-23,ADANIPOWER,True
2023-06-23,ADANITRANS,True
2023-06-23,AJANTPHARM,True
2023-06-23,ALKEM,True
2023-06-23,AMARAJABAT,True
2023-06-23,AMBUJACEM,True
2023-06-23,APOLLOHOSP,True
2023-06-23,APOLLOTYRE,True
2023-06-23,ASHOKLEY,True
2023-06-23,ASIANPAINT,True
2023-06-23,ASTRAL,True
2023-06-23,ATGL,True
2023-06-23,AUBANK,True
2023-06-23,AUROPHARMA,True
2023-06-23,AWL,True
2023-06-23,AXISBANK,True
2023-06-23,BAJAJ-AUTO,True
2023-06-23,BAJAJFINSV,True
2023-06-23,BAJAJHLDNG,True
2023-06-23,BAJFINANCE,True
2023-06-23,BALKRISIND,True
2023-06-23,BANDHANBNK,True
2023-06-23,BANKBARODA,True
2023-06-23,BANKINDIA,True
2023-06-23,BATAINDIA,True
2023-06-23,BEL,True
2023-06-23,BERGEPAINT,True
2023-06-23,BHARATFORG,True
2023-06-23,BHARTIARTL,True
2023-06-23,BHEL,True
2023-06-23,BIOCON,True
2023-06-23,BOSCHLTD,True
2023-06-23,BPCL,True
2023-06-23,BRITANNIA,True
2023-06-23,CADILAHC,True
2023-06-23,CANBK,True
2023-06-23,CASTROLIND,True
2023-06-23,CGPOWER,True
2023-06-23,CHOLAFIN,True
2023-06-23,CIPLA,True
2023-06-23,COALINDIA,True
2023-06-23,COFORGE,True
2023-06-23,COLPAL,True
2023-06-23,CONCOR,True
2023-06-23,COROMANDEL,True
2023-06-23,CROMPTON,True
2023-06-23,CUB,True
2023-06-23,CUMMINSIND,True
2023-06-23,DABUR,True
2023-06-23,DALBHARAT,True
2023-06-23,DEEPAKNTR,True
2023-06-23,DELHIVERY,True
2023-06-23,DEVYANI,True
