snapshot_date,official_count,replayed_count,missing_from_replay,extra_in_replay
2019-04-30,198,198,"BAJAJHLDNG,GSKCONS,HDFCAMC,LTTS,PFIZER","AVANTIFEED,CENTRALBK,PCJEWELLER,TV18BRDCST,VAKRANGEE"
2019-05-31,198,198,,
2019-07-31,198,198,,
2019-09-30,199,198,"ALBK,CESC,CUB,DALBHARAT,EMAMILTD,GODREJPROP,IPCALAB,NESTLEIND,ORIENTBANK,RNAM,SUNPHARMA","ABB,DBL,DHFL,DISHTV,GRUH,GSKCONS,RELCAPITAL,RELINFRA,RPOWER,SPARC"
2019-10-31,199,199,,
2019-12-31,199,199,,
2020-01-31,199,199,NAM-INDIA,RNAM
2020-03-31,199,199,"FCONSUMER,GRAPHITE,HEG,NBCC,STRTECH,TATACONSUM,VARROC","ADANIGAS,ADANIGREEN,IRCTC,NIITTECH,POLYCAB,TATAGLOBAL,YESBANK"
2020-04-30,199,199,,
2020-06-30,198,199,"AARTIIND,ABBOTINDIA,ADANIGAS,GUJGASLTD,IRCTC,LALPATHLAB,NIITTECH,POLYCAB,TRENT","ENGINERSIN,FCONSUMER,GRAPHITE,HEG,INDIANB,NBCC,NIACL,STRTECH,TATAMTRDVR,VARROC"
2020-07-31,198,198,SBICARD,VEDL
2020-08-31,198,198,COFORGE,NIITTECH
2020-09-30,198,199,,ISEC
2020-12-31,198,198,"DHANI,INDUSTOWER","IBVENTURES,INFRATEL"
2021-03-31,198,198,ATGL,ADANIGAS
2021-04-30,198,198,,
2021-05-31,198,198,,
2021-06-30,198,198,GLAND,MOTHERSUMI
2021-08-31,198,198,,
2021-09-30,198,198,"ASTRAL,HINDCOPPER,INDIANB,IRFC,NATIONALUM,TATACOMM","ABBOTINDIA,BBTC,CESC,GODREJAGRO,IBULHSGFIN,VGUARD"
2021-11-30,198,198,SONACOMS,GMRINFRA
2021-12-31,198,198,,
